order_id,customer_id,product_name,item_price,quantity,order_date
ORD-20260720-1005,CUST-13499,Dual Monitor Stand,57.15,1,2026-07-20 20:50:33
ORD-20260720-1000,CUST-88888,Wireless Mouse,25.5,2,2026-07-20 12:05:00
ORD-20260720-BADQTY,CUST-66666,Dual Monitor Stand,59.99,0,2026-07-20 12:15:00
ORD-20260720-BADVALDATE,CUST-55555,Ergonomic Office Chair,249.5,1,INVALID_DATE_STRING
ORD-20260720-1002,CUST-30022,Noise Cancelling Headphones,187.67,3,2026-07-20 13:19:16
ORD-20260720-1007,CUST-72426,Noise Cancelling Headphones,189.77,3,2026-07-20 18:23:09
ORD-20260720-1008,CUST-33426,Ergonomic Office Chair,274.12,5,2026-07-20 12:24:22
ORD-20260720-1009,CUST-33003,Dual Monitor Stand,60.7,2,2026-07-20 08:37:14
ORD-20260720-1003,CUST-56388,USB-C Hub,35.67,5,2026-07-20 06:56:59
ORD-20260720-1001,CUST-49921,Wireless Mouse,26.47,2,2026-07-20 15:19:32
ORD-20260720-BADPRICE,CUST-77777,Mechanical Keyboard,-10.0,1,2026-07-20 12:10:00
ORD-20260720-1004,CUST-51268,Wireless Mouse,24.06,5,2026-07-20 11:43:57
,CUST-99999,USB-C Hub,35.0,1,2026-07-20 12:00:00
ORD-20260720-1000,CUST-33829,Noise Cancelling Headphones,209.43,1,2026-07-20 01:54:45
ORD-20260720-1006,CUST-45232,Wireless Mouse,23.57,3,2026-07-20 03:19:53
